ab	abk_Cyrl_GE	abk
is	isl_Latn_IS	isl
it	ita_Latn_IT	ita
izh	izh_Latn_XX	izh
ja	jpn_Jpan_JP	jpn
jam	jam_Latn_JM	jam
jbo	jbo_Latn_XX	jbo_Latn
jdt	jdt_Cyrl_XX	jdt_Cyrl
jpa	jpa_Hebr_XX	jpa_Hebr
jv	jav_Latn_ID	jav
ka	kat_Geor_GE	kat
kaa	kaa_Cyrl_XX	kaa
kab	kab_Latn_DZ	kab
kam	kam_Latn_KE	kam
kek	kek_Latn_XX	kek_Latn
kha	kha_Latn_IN	kha
kiu	kiu_Latn_TR	kiu
kjh	kjh_Cyrl_XX	kjh
kk	kaz_Zyyy_KZ	kaz
kl	kal_Latn_GL	kal
km	khm_Khmr_KH	khm
kmr	kmr_Latn_TR	kmr
kn	kan_Knda_IN	kan
ko	kor_Zyyy_KR	kor
koi	koi_Cyrl_RU	koi
kpv	kpv_Cyrl_RU	kpv
krc	krc_Cyrl_RU	krc
krl	krl_Latn_XX	krl
ks	kas_Arab_IN	kas_Arab
ksh	ksh_Latn_DE	ksh
ku	kmr_Latn_TR	kmr
kum	kum_Cyrl_RU	kum
kw	cor_Latn_GB	cor
kxi	kxi_Latn_XX	kxi_Latn
ky	kir_Cyrl_KG	kir_Cyrl
kzj	kzj_Latn_XX	kzj_Latn
la	lat_Latn_VA	lat_Latn
laa	laa_Latn_XX	laa_Latn
lad	lad_Hebr_XX	lad
lb	ltz_Latn_LU	ltz
ldn	ldn_Latn_XX	ldn_Latn
lfn	lfn_Latn_XX	lfn_Latn
lg	lug_Latn_UG	lug
lij	lij_Latn_XX	lij
liv	liv_Latn_XX	liv_Latn
lkt	lkt_Latn_US	lkt
lld	lld_Latn_XX	lld_Latn
lmo	lmo_Latn_XX	lmo
ln	lin_Latn_CD	lin
lo	lao_Laoo_LA	lao
lou	lou_Latn_XX	lou_Latn
lt	lit_Latn_LT	lit
ltg	ltg_Latn_LV	ltg
lut	lut_Latn_XX	lut_Latn
lv	lav_Latn_LV	lav
lzh	lzh_Hans_XX	lzh_Hans
lzz	lzz_Geor_XX	lzz_Geor
mad	mad_Latn_ID	mad
mai	mai_Deva_IN	mai
max	max_Latn_MY	max_Latn
mdf	mdf_Cyrl_RU	mdf
mfe	mfe_Latn_MU	mfe
mg	mlg_Latn_MG	mlg
mgm	mgm_Latn_XX	mgm_Latn
mh	mah_Latn_MH	mah
mhr	mhr_Cyrl_XX	mhr
mi	mri_Latn_NZ	mri
mic	mic_Latn_XX	mic
min	min_Latn_ID	min
mk	mkd_Cyrl_MK	mkd
ml	mal_Mlym_IN	mal
mn	mon_Cyrl_MN	mon
mnc	mnc_Mong_XX	mnc_Mong
mni	mni_Zyyy_IN	mni
mnw	mnw_Mymr_XX	mnw
moh	moh_Latn_CA	moh
mr	mar_Deva_IN	mar
mrj	mrj_Cyrl_XX	mrj
mt	mlt_Latn_MT	mlt
mvv	mvv_Latn_XX	mvv_Latn
mwl	mwl_Latn_XX	mwl
mww	mww_Latn_XX	mww
my	mya_Mymr_MM	mya
myv	myv_Cyrl_RU	myv
na	nau_Latn_NR	nau
nah	nah_Latn_XX	nah_Latn
nan	nan_Hans_CN	nan
nb	nob_Latn_NO	nob
nch	nch_Latn_XX	nch
nds	nds_Latn_DE	nds
new	new_Deva_XX	new
ngt	ngt_Latn_XX	ngt_Latn
ngu	ngu_Latn_XX	ngu_Latn
niu	niu_Latn_NU	niu
nl	nld_Latn_NL	nld
nlv	nlv_Latn_XX	nlv_Latn
nn	nno_Latn_NO	nno
nog	nog_Cyrl_XX	nog
non	non_Zyyy_XX	non
nov	nov_Latn_XX	nov_Latn
npi	npi_Deva_NP	npi
nst	nst_Latn_XX	nst_Latn
nus	nus_Latn_SS	nus
nv	nav_Latn_XX	nav
ny	nya_Latn_MW	nya
nys	nys_Latn_XX	nys_Latn
oar	oar_Hebr_XX	oar_Hebr
oc	oci_Latn_FR	oci
ofs	ofs_Latn_XX	ofs_Latn
oj	oji_Latn_XX	oji_Latn
ood	ood_Latn_XX	ood_Latn
or	ori_Orya_IN	ori
orv	orv_Cyrl_XX	orv_Cyrl
os	oss_Cyrl_GE	oss
osp	osp_Latn_XX	osp_Latn
osx	osx_Latn_XX	osx_Latn
ota	ota_Arab_XX	ota_Arab
otk	otk_Orkh_XX	otk_Orkh
pa	pan_Guru_XX	pan_Guru
pag	pag_Latn_PH	pag
pal	pal_Zyyy_XX	pal
pam	pam_Latn_PH	pam
pap	pap_Latn_XX	pap
pau	pau_Latn_PW	pau
pcd	pcd_Latn_XX	pcd
pdc	pdc_Latn_XX	pdc
pes	pes_Arab_IR	pes
pfl	pfl_Latn_XX	pfl
phn	phn_Phnx_XX	phn_Phnx
pi	pli_Zyyy_XX	pli
pl	pol_Latn_PL	pol
pms	pms_Latn_XX	pms
pnb	pnb_Arab_PK	pnb
ppl	ppl_Latn_XX	ppl_Latn
prg	prg_Latn_XX	prg_Latn
ps	pus_Arab_AF	pus
pt	por_Latn_PT	por
qu	que_Latn_PE	que
quc	quc_Latn_GT	quc
qxq	qxq_Arab_XX	qxq_Latn
qya	qya_Latn_XX	qya_Latn
rap	rap_Latn_XX	rap
rel	rel_Latn_XX	rel_Latn
rif	rif_Latn_MA	rif_Latn
rm	roh_Latn_CH	roh
rn	run_Latn_BI	run
ro	ron_Latn_RO	ron
rom	rom_Latn_XX	rom
ru	rus_Cyrl_RU	rus
rue	rue_Cyrl_XX	rue
rw	kin_Latn_RW	kin
ryu	ryu_Zyyy_XX	ryu
sa	san_Deva_IN	san_Deva
sah	sah_Cyrl_RU	sah
sc	srd_Latn_IT	srd
scn	scn_Latn_IT	scn
sco	sco_Latn_GB	sco
sd	snd_Arab_XX	snd_Arab
sdh	sdh_Arab_IR	sdh
se	sme_Latn_NO	sme
sg	sag_Latn_CF	sag
sgs	sgs_Latn_XX	sgs
shs	shs_Latn_XX	shs_Latn
shy	shy_Latn_XX	shy_Latn
si	sin_Sinh_LK	sin
sjn	sjn_Latn_XX	sjn_Latn
sl	slv_Latn_SI	slv
sm	smo_Latn_XX	smo
sma	sma_Latn_SE	sma
sn	sna_Latn_ZW	sna
so	som_Latn_SO	som
sq	sqi_Latn_AL	sqi
sr	srp_Cyrl_XX	srp_Cyrl
ss	ssw_Latn_ZA	ssw
st	sot_Latn_ZA	sot
stq	stq_Latn_XX	stq
su	sun_Latn_ID	sun
sux	sux_Xsux_XX	sux_Xsux
sv	swe_Latn_SE	swe
swg	swg_Latn_XX	swg
swh	swh_Latn_TZ	swh
syc	syc_Syrc_XX	syc_Syrc
ta	tam_Taml_IN	tam
te	tel_Telu_IN	tel
tet	tet_Latn_TL	tet
tg	tgk_Cyrl_TJ	tgk_Cyrl
th	tha_Thai_TH	tha
thv	thv_Latn_NE	thv
ti	tir_Ethi_ET	tir
tig	tig_Ethi_ER	tig
tk	tuk_Latn_TM	tuk_Latn
tkl	tkl_Latn_TK	tkl
tl	tgl_Latn_XX	tgl_Latn
tlh	tlh_Latn_XX	tlh_Latn
tly	tly_Latn_XX	tly_Latn
tmr	tmr_Hebr_XX	tmr_Hebr
tmw	tmw_Latn_MY	tmw_Latn
tn	tsn_Latn_ZA	tsn
to	ton_Latn_TO	ton
toi	toi_Latn_XX	toi_Latn
toki	toki_Latn_XX	toki_Latn
tpi	tpi_Latn_PG	tpi
tpw	tpw_Latn_XX	tpw_Latn
tr	tur_Latn_TR	tur
ts	tso_Latn_ZA	tso
tt	tat_Cyrl_RU	tat
tts	tts_Thai_TH	tts
tvl	tvl_Latn_TV	tvl
ty	tah_Latn_PF	tah
tyv	tyv_Cyrl_RU	tyv
tzl	tzl_Latn_XX	tzl_Latn
udm	udm_Cyrl_RU	udm
ug	uig_Arab_CN	uig_Arab
uk	ukr_Cyrl_UA	ukr
umb	umb_Latn_AO	umb
ur	urd_Arab_PK	urd
urh	urh_Latn_XX	urh_Latn
uz	uzb_Latn_XX	uzb_Latn
vec	vec_Latn_XX	vec
vep	vep_Latn_XX	vep
vi	vie_Latn_VN	vie
vo	vol_Latn_XX	vol_Latn
vro	vro_Latn_EE	vro
wa	wln_Latn_BE	wln
war	war_Latn_PH	war
wo	wol_Latn_SN	wol
wuu	wuu_Hans_CN	wuu
xal	xal_Cyrl_XX	xal
xh	xho_Latn_ZA	xho
xmf	xmf_Geor_XX	xmf
xqa	xqa_Latn_XX	xqa_Latn
yi	yid_Hebr_XX	yid
yo	yor_Latn_NG	yor
yua	yua_Latn_XX	yua
yue	yue_Hans_XX	yue_Hans
zgh	zgh_Tfng_MA	zgh
zlm	zlm_Latn_MY	zlm_Latn
zsm	zsm_Latn_MY	zsm_Latn
zu	zul_Latn_ZA	zul
zza	zza_Latn_TR	zza
